marca,modelo,nro_de_serie,lugar_de_instalacion,fecha_de_verificacion,tipo
ANCA,CVDV,CJR0004,"Ruta Provincial 66, km 92, Landeta, Pcia. de Santa Fe, sentido de circulación Cañada Rosquin - Córdoba",2006-01-05,Fijo
ANCA,CVDV,CJR0004,"Ruta Provincial 66, km 92, Landeta, Pcia. de Santa Fe, sentido de circulación Cañada Rosquin - Córdoba",2007-03-22,Fijo
ANCA,CVDV,CJR0004,"Ruta Provincial 66, km 92, Landeta, Pcia. de Santa Fe, sentido de circulación Cañada Rosquin - Córdoba",2007-03-22,Fijo
ANCA,CVDV,CJR0004,"Ruta Provincial 66, km 92, Landeta, Pcia. de Santa Fe, sentido de circulación Cañada Rosquin - Córdoba",2008-03-11,Fijo
ANCA,CVDV,CJR0004,"Ruta Provincial 66, km 92, Landeta, Pcia. de Santa Fe, sentido de circulación Cañada Rosquin - Córdoba",2008-03-11,Fijo
ANCA,CVDV,CJR0005,"Ruta Nacional 34, km 95,4, Centeno, Pcia. de Santa Fe, sentido de circulación San Francisco - Rosario",2006-01-05,Fijo
ANCA,CVDV,CJR0005,"Ruta Nacional 34, km 95,4, Centeno, Pcia. de Santa Fe, sentido de circulación Rosario - San Francisco.",2007-03-22,Fijo
ANCA,CVDV,CJR0005,"Ruta Nacional 34, km 95,4, Centeno, Pcia. de Santa Fe, sentido de circulación Rosario - San Francisco.",2007-03-22,Fijo
ANCA,CVDV,CJR0005,"Ruta Nacional 34, km 95,4, Centeno, Pcia. de Santa Fe, sentido de circulación Rosario - San Francisco.",2008-03-11,Fijo
ANCA,CVDV,CJR0005,"Ruta Nacional 34, km 95,4, Centeno, Pcia. de Santa Fe, sentido de circulación Rosario - San Francisco.",2008-03-11,Fijo
ANCA,CVDV,CJR0006,"Ruta Nacional 34, km 95,4, Centeno, Pcia. de Santa Fe, sentido de circulación Rosario - San Francisco.",2006-01-05,Fijo
ANCA,CVDV,CJR0006,"Ruta Nacional 34, km 95,4, Centeno, Pcia. de Santa Fe, sentido de circulación San Francisco - Rosario",2007-03-21,Fijo
ANCA,CVDV,CJR0006,"Ruta Nacional 34, km 95,4, Centeno, Pcia. de Santa Fe, sentido de circulación San Francisco - Rosario",2007-03-21,Fijo
ANCA,CVDV,CJR0006,"Ruta Nacional 34, km 95,4, Centeno, Pcia. de Santa Fe, sentido de circulación San Francisco - Rosario",2008-03-11,Fijo
ANCA,CVDV,CJR0006,"Ruta Nacional 34, km 95,4, Centeno, Pcia. de Santa Fe, sentido de circulación San Francisco - Rosario",2008-03-11,Fijo
ANCA,CVDV,CJR0007,"Ruta Provincial 13, km 52, Pellegrini, Pcia. de Santa Fe, sentido de circulación San Jorge - Trébol",2006-01-05,Fijo
ANCA,CVDV,CJR0008,"Ruta Provincial 13, km 51,1, Pellegrini, Pcia. de Santa Fe, sentido de circulación Trébol - San Jorge",2006-01-05,Fijo
ANCA,CVDV,CJR0009,"Ruta Nacional 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación Buenos Aires - Mar del Plata.",2007-07-24,Fijo
ANCA,CVDV,CJR0010,"Ruta Nacional 2, km 152,7, Lezama, Pcia. de Buenos Aires, sentido de circulación Buenos Aires - Mar del Plata",2007-08-28,Fijo
ANCA,CVDV,CJR0011,"Ruta Nacional 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación Buenos Aires - Mar del Plata.",2007-07-24,Fijo
ANCA,CVDV,CJR0013,"Ruta Nacional 2, km 113,5, Chascomús, Pcia. de Buenos 
Aires,sentido de circulación Mar del Plata - Buenos Aires",2007-07-27,Fijo
ANCA,CVDV,CJR0014,"Ruta Nacional 2, km 114, Chascomús, Pcia. de Buenos Aires, sentido de circulación Buenos Aires - Mar del Plata",2007-07-25,Fijo
ANCA,CVDV,CJR0015,"Ruta Provincial Nº 36, km 106, Paraje Starace, Pcia. de Buenos Aires,sentido de circulación Buenos Aires - Vieytes",2007-08-29,Fijo
ANCA,CVDV,CJR0016,"Ruta Provincial Nº 36, km 106, Paraje Starace, Pcia. de Buenos Aires,sentido de circulación Vieytes - Buenos Aires",2007-10-29,Fijo
ANCA,CVDV,CJR0017,"Ruta Provincial Nº 36, km 155, Pipinas, Pcia. de Buenos Aires,sentido de circulación Vieytes - Cerro de la Gloria",2007-08-30,Fijo
ANCA,CVDV,CJR0018,"Ruta Provincial Nº 36, km 155, Pipinas, Pcia. de Buenos Aires,sentido de circulación Cerro de la Gloria - Vieytes",2007-09-12,Fijo
Anca,CVDV Versión 2,CJR0062,Av. Figueroa Alcorta 4750 - carril 2 asc. CABA,2021-04-19,Fijo
Anca,CVDV Versión 2,CJR0059,Av. San Juan 2735 - carril 3 desc. CABA,2020-03-02,Fijo
Anca,CVDV Versión 2,CJR0059,Av. San Juan 2735 - carril 3 desc. CABA,2021-04-05,Fijo
