lugar_de_instalacion,lat,lon,formatted_address
"Ruta Pcial. Nº 11, km 291, Gral. Lavalle, Pcia. de Buenos Aires, sentido de circulación: Gral. Conesa - San Clemente del Tuyú",,,
"Ruta Pcial 11, km 290,2, Gral. Lavalle, Bs. As. Sent. Ascendente Ruta provincial Nº 11 km 291, General Lavalle, Pcia. de Buenos",,,
"Ruta Pcial. Nº 11, km 290,2, Gral. Lavalle, Pcia. de Buenos Aires,sentido de circulación: Gral. Conesa - San Clemente del Tuyú, Asc.",,,
"Ruta Pcial. Nº 11, km 290,2, Gral. Lavalle, Pcia. de Buenos Aires, sentido de circulación: Gral. Conesa - San Clemente del Tuyú, Asc.",,,
"Ruta Provincial 2, km 113,5, Chascomús, Pcia. de Buenos 
Aires,sentido de circulación Mar del Plata - Capital Federal",,,
"Ruta provincial Nº 2, km 113,5, Chascomús, Pcia. de Buenos Aires,sentido de circulación Mar del Plata - Capital Federal.",,,
"Ruta provincial Nº 2, km 113,5, Chascomús, Pcia. de Buenos Aires, sentido de circulación Mar del Plata - Capital Federal.",,,
"Ruta Pcial. Nº 2, km 113,5, Chascomús, Pcia. de Buenos 
Aires,sentido de circulación: Mar del Plata - CABA",,,
"Ruta Pcial. Nº 2, km 113,5, Chascomús, Pcia. de Buenos Aires, sentido de circulación: Mar del Plata - CABA",,,
"Ruta Pcial. Nº 2, km 113,5, Chascomús, Pcia. de Buenos 
Aires,sentido de circulación: Mar del Plata - CABA, desc.",,,
"Ruta Pcial. Nº 2, km 113,5, Chascomús, Pcia. de Buenos Aires, sentido de circulación: Mar del Plata - CABA, desc.",,,
"Ruta Pcial. Nº 2, km 113,5, Chascomús, Pcia. de Buenos Aires, sentido de circulación: desc carril 2.",,,
"Ruta Provincial 2, km 114, Chascomús, Pcia. de Buenos Aires,sentido de circulación Capital Federal - Mar del Plata",,,
"Ruta provincial Nº 2, km 114, Chascomús, Pcia. de Buenos 
Aires,sentido de circulación Capital Federal - Mar del Plata.",,,
"Ruta provincial Nº 2, km 114, Chascomús, Pcia. de Buenos Aires, sentido de circulación Capital Federal - Mar del Plata.",,,
"Ruta provincial Nº 2, km 114, Chascomús, Pcia. de Buenos Aires,sentido de circulación Capital Federal - Mar del Plata, Asc.",,,
"Ruta provincial Nº 2, km 114, Chascomús, Pcia. de Buenos Aires, sentido de circulación Capital Federal - Mar del Plata, Asc.",,,
"Ruta provincial Nº 2, km 114, Chascomús, Pcia. de Buenos Aires, sentido de circulación Asc. Carril 1",,,
"Ruta Provincial Nº 36, km 106, Paraje Starace, Pcia. de Buenos Aires,sentido de circulación La Plata - Verónica",,,
"Ruta Provincial Nº 36, km 106, Paraje Starace, Pcia. de Buenos Aires, sentido de circulación La Plata - Verónica",,,
"Ruta Provincial Nº 36, km 96,5 Magdalena, Pcia. de Buenos 
Aires,sentido de circulación La Plata - Verónica",,,
"Ruta Provincial Nº 36, km 96,5 Magdalena, Pcia. de Buenos Aires, sentido de circulación La Plata - Verónica",,,
"Ruta Provincial Nº 36, km 96,5, Magdalena, Pcia. de Buenos Aires,sentido de circulación La Plata - Verónica",,,
"Ruta Provincial Nº 36, km 96,5 Magdalena, Pcia. de Buenos 
Aires,sentido de circulación La Plata - Verónica, Asc.",,,
"Ruta Provincial Nº 36, km 96,5 Magdalena, Pcia. de Buenos Aires, sentido de circulación La Plata - Verónica, Asc.",,,
"Ruta Prov. 36 km 96,5 asc Magdalema carril 1",,,
"Ruta Provincial Nº 36, km 106, Paraje Starace, Pcia. de Buenos Aires,sentido de circulación Verónica - La Plata",,,
"Ruta Provincial Nº 36, km 106, Paraje Starace, Pcia. de Buenos Aires, sentido de circulación Verónica - La Plata",,,
"Ruta Provincial Nº 36, km 96,5 Magdalena, Pcia. de Buenos 
Aires,sentido de circulación Verónica - La Plata",,,
